Rule ID,Control Name,Category,Severity,Risk,Entitlement,Applies To,What It Checks,XC Config Field(s) Inspected,How Evaluated (PASS / FAIL / WARN / SKIP),Expected Value,Remediation,Known Issue / Review Note
TLS-01,Load Balancer Serves HTTPS,TLS_SSL,HIGH,High,Base,http_loadbalancer,Public HTTP LB should serve over HTTPS; an HTTP-only listener exposes all traffic in plaintext.,spec.https  OR  spec.https_auto_cert  (presence of either key),PASS if either HTTPS key present (HTTPS listener). FAIL if neither (HTTP-only).,HTTPS (auto or custom cert),Set listener type to HTTPS with Automatic Certificate (or custom cert) and enable HTTP→HTTPS redirect.,
TLS-02,HTTP to HTTPS Redirect,TLS_SSL,HIGH,High,Base,http_loadbalancer,HTTP requests should redirect to HTTPS so no plaintext reaches the app.,spec.http_redirect === true  OR  spec.https*/.http_redirect === true,SKIP if HTTP-only (see TLS-01). PASS if redirect true. FAIL otherwise.,Enabled,"In the LB HTTPS settings enable ""HTTP Redirect to HTTPS"".",
TLS-03,HSTS Header Enabled,TLS_SSL,MEDIUM,Med,Base,http_loadbalancer,"HSTS forces browsers to HTTPS-only, blocking downgrade attacks.",spec.add_hsts_header === true  OR  spec.https*/.add_hsts === true,SKIP if HTTP-only. PASS if HSTS true. FAIL otherwise.,Enabled,"In the LB HTTPS settings enable ""Add HSTS Header"".",
TLS-04,TLS Security Level (Medium+),TLS_SSL,HIGH,High,Base,http_loadbalancer,TLS level should be Medium (TLS 1.2+) minimum; High preferred. Low permits TLS 1.0/1.1.,"spec.https*/.tls_config | tls_parameters.tls_config | tls_cert_params.tls_config → low_security | medium_security | default_security, else min_version string","SKIP if HTTP-only. FAIL if low_security or min TLS 1.0/1.1. PASS for medium_security, default_security, High.",Medium (TLS 1.2+) or High,Set TLS Security Level to Default/High (TLS 1.2+). medium_security and low_security both permit TLS 1.0/1.1.,"✅ FIXED — BUG (confirmed, F5 TLS Reference Jun 2026): default_security = TLS 1.2/1.3; medium_security = min TLS 1.0; low_security = min TLS 1.0 + non-PFS static-RSA ciphers. Tool PASSes medium_security as ""TLS 1.2+"" → passes TLS 1.0/1.1. medium should WARN, low should FAIL; only default_security/High should PASS."
WAF-01,WAF (App Firewall) Attached,WAF,CRITICAL,High,Base,http_loadbalancer,An App Firewall (WAF) policy should be attached. WAF is off by default.,spec.app_firewall (ref)  vs  spec.disable_waf,"PASS if app_firewall ref present and not disabled. FAIL if disable_waf set, or no ref.",WAF policy attached,Attach an App Firewall policy (Security Config → WAF → Enable).,
WAF-02,No Broad WAF Exclusions,WAF,HIGH,High,Base,http_loadbalancer,"Exclusion rules matching any domain + any path (or "".*"") silence the WAF app-wide.","spec.waf_exclusion_rules[]  → broad = any_domain && (any_path || path_regex ∈ {.*, .+, /.*, /.+})",PASS if 0 exclusions or all narrow. FAIL if any broad exclusion.,"Narrow, endpoint-specific exclusions only","Replace any ""any domain / any path"" (or "".*"") exclusion with narrow per-signature, per-path exclusions.",✅ FIXED — BUG: only reads legacy flat spec.waf_exclusion_rules[]. Misses newer spec.waf_exclusion.waf_exclusion_inline_rules.rules[] wrapper → broad exclusions in that shape are NOT detected.
WAF-03,Malware Protection Enabled,WAF,MEDIUM,Med,Entitlement,http_loadbalancer,Malware protection scans uploaded files. On by default unless disabled.,spec.disable_malware_protection (presence),PASS if not disabled. FAIL if disable_malware_protection present.,Enabled (where file uploads are accepted),Enable Malware Protection (licensed add-on) on LBs that accept file uploads.,"✅ FIXED — BUG (confirmed): Malware Protection is a licensed ADD-ON (GA Mar 2026), console default = Disable. ""!disable_malware_protection"" auto-PASSes every LB → over-credits. Entitlement should be Add-on (not Base); should verify genuine enablement, not just ""not disabled"". Consider scoping to upload-accepting apps."
WAF-04,No Route Disabling WAF,WAF,HIGH,High,Base,http_loadbalancer,A per-route override can disable WAF on specific paths. Sensitive routes must not bypass WAF.,spec.routes[].simple_route.advanced_options.disable_waf,SKIP if WAF not enabled at LB (see WAF-01). PASS if no route disables WAF. FAIL if ≥1 route does.,No route disables WAF,"Remove per-route ""disable WAF"" overrides, or confirm they are intentional on non-sensitive paths.",
WAF-05,Path Normalization,WAF,LOW,Low,Config,http_loadbalancer,Path normalization defeats path encoding/evasion before security evaluation.,spec.https*/.enable_path_normalize,SKIP if HTTP-only. PASS if enabled. WARN otherwise.,Enabled,Enable path normalization (route / more_option level).,"✅ FIXED — BUG (confirmed): the top-level LB enable_path_normalize/disable_path_normalize oneof is DEPRECATED in the current schema; the active normalization setting lives under routes / more_option. Reading it off the HTTPS block never matches → always WARNs. Re-target to more_option/route, or retire this control."
AC-01,Service Policy Applied,ACCESS_CONTROL,MEDIUM,Med,Base,http_loadbalancer,A service policy controls L7 allow/deny. No policy = implicit allow.,spec.active_service_policies.policies[]  OR  spec.service_policies_from_namespace,PASS if ≥1 active policy or inherits namespace policies. WARN if none.,Active or namespace service policy,Apply an active service policy (or inherit the namespace set).,Cannot see namespace-inherited policies unless the LB JSON names them — get_security_config would resolve effective policy.
